"Please regenerate Pearl Theme LESS/CSS files from <a href=""%1"">Cache Management Section</a>","Please regenerate Pearl Theme LESS/CSS files from <a href=""%1"">Cache Management Section</a>"
Top,Top
Right,Right
Bottom,Bottom
Left,Left
"Custom Header","Custom Header"
"Important / Recommended:","Important / Recommended:"
"General Settings","General Settings"
"Header Style","Header Style"
"Global Promo Message","Global Promo Message"
Enable,Enable
"weltpixel_global_promo_message static block content is displayed.","weltpixel_global_promo_message static block content is displayed."
"Text Color","Text Color"
"Background Color","Background Color"
"Top Header","Top Header"
Width,Width
"Link Color","Link Color"
"Hover Link Color","Hover Link Color"
"Active Link Color","Active Link Color"
"Submenu Link Color","Submenu Link Color"
"Submenu Hover Link Color","Submenu Hover Link Color"
"Border Bottom Color","Border Bottom Color"
"Middle Header","Middle Header"
Background,Background
"Header Navigation","Header Navigation"
"Navigation Shadow","Navigation Shadow"
"Search Options","Search Options"
"Field Width","Field Width"
"Field Height","Field Height"
"Field Border Width","Field Border Width"
"Field Border Style","Field Border Style"
"Field Border Color","Field Border Color"
"Field Background color","Field Background color"
"Font color","Font color"
"Placeholder color","Placeholder color"
"Font size","Font size"
"Header Icons","Header Icons"
"Icon Size","Icon Size"
"Icon Color","Icon Color"
"Icon Hover Color","Icon Hover Color"
